loss,accuracy,val_loss,val_accuracy,lr
1.1755362749099731,0.6635082364082336,2.634694814682007,0.0,1e-04
0.9089580774307251,0.7978619933128357,3.2944555282592773,0.0,1e-04
0.7897893786430359,0.8466958403587341,1.3371652364730835,0.3803502023220062,1e-04
0.7222048044204712,0.8782798647880554,0.7837615609169006,0.8501945734024048,1e-04
0.6631861925125122,0.9018464684486389,0.7247860431671143,0.8764591217041016,1e-04
0.6356939077377319,0.9144800901412964,1.0388145446777344,0.7694552540779114,1e-04
0.5942451357841492,0.9295432567596436,0.7253338694572449,0.8832684755325317,1e-04
0.5636759996414185,0.9399902820587158,0.6519073843955994,0.9163424372673035,1e-04
0.5303977131843567,0.954567551612854,0.7303222417831421,0.8881322741508484,1e-04
0.5157213807106018,0.9635568261146545,0.7370170950889587,0.8929961323738098,1e-04
0.5124257206916809,0.9620991349220276,0.592889130115509,0.929961085319519,1e-04
0.49754947423934937,0.966472327709198,0.7001880407333374,0.9085603356361389,1e-04
0.4964594841003418,0.9676870703697205,0.6747605204582214,0.9202334880828857,1e-04
0.47807708382606506,0.9718173146247864,0.6365340352058411,0.9182879328727722,1e-04
0.470674991607666,0.9783770442008972,0.5924961566925049,0.9357976913452148,1e-04
0.4627503752708435,0.9800777435302734,0.6734619140625,0.911478579044342,1e-04
0.46177029609680176,0.9791059494018555,0.5792557597160339,0.9367704391479492,1e-04
0.44905394315719604,0.987123429775238,0.6523695588111877,0.9202334880828857,1e-04
0.45014688372612,0.9837220311164856,0.5946395397186279,0.9435797929763794,1e-04
0.4409862160682678,0.987123429775238,0.6159745454788208,0.929961085319519,1e-04
0.4410121738910675,0.988095223903656,0.6094951629638672,0.9357976913452148,1e-04
0.4336144030094147,0.9914966225624084,0.6710392832756042,0.9153696298599243,1e-04
0.435517817735672,0.988581120967865,0.5373826026916504,0.9552529454231262,1e-04
0.4280233681201935,0.991253674030304,0.584505021572113,0.9396887421607971,1e-04
0.42412009835243225,0.9929543137550354,0.6848569512367249,0.9202334880828857,1e-04
0.428940087556839,0.9890670776367188,0.5849767327308655,0.938715934753418,1e-04
0.42425626516342163,0.991253674030304,0.597366988658905,0.9416342377662659,1e-04
0.41627174615859985,0.9948979616165161,0.5855482220649719,0.938715934753418,1e-04
0.4234411418437958,0.9919825196266174,0.6014211773872375,0.9367704391479492,1e-04
0.4218423068523407,0.9910106658935547,0.5601352453231812,0.9474708437919617,2e-05
0.41215983033180237,0.9961127042770386,0.5795783400535583,0.9406614899635315,2e-05
0.41101527214050293,0.9965986609458923,0.5842294692993164,0.938715934753418,2e-05
0.4129042625427246,0.9963557124137878,0.5904220938682556,0.9396887421607971,2e-05
0.41339007019996643,0.9944120645523071,0.5706325769424438,0.9435797929763794,2e-05
0.41025224328041077,0.9961127042770386,0.578687846660614,0.9426069855690002,2e-05
0.41352957487106323,0.9956268072128296,0.5678144693374634,0.9435797929763794,4e-06
0.41631755232810974,0.9939261674880981,0.5659118890762329,0.9435797929763794,4e-06
0.4136461615562439,0.9946550130844116,0.5653024315834045,0.9474708437919617,4e-06
